customerID;code;classRef;shortText;longText;Createdby;modifiedBy;validFrom;validTo
10;3FS;;GROUP 3 FOREMAN SPECIAL 2.5;GROUP 3 FOREMAN SPECIAL 2.5;lchen;lchen;2021-01-01;9999-12-31
10;5010;;Air Compressor;Air Compressor;lchen;lchen;2021-01-01;9999-12-31
10;5020;;Carpenter;Carpenter;lchen;lchen;2021-01-01;9999-12-31
10;5030;;Carpenter Helper;Carpenter Helper;lchen;lchen;2021-01-01;9999-12-31
