customerID,unionInfoPointer,unionCode,unionCraft,unionClass,projectID,benefitOption,unionFringe,fringeDescription,fringeRate,calculationMethod,baseCode,vendor,paymentModel,Createdby,modifiedBy,validFrom,validTo
10,10003636,0301,PD,A60,*,,9F26,ANNUITY JCTEST,2.85000,H,9X06,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10006447,1291,LB,AG1,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10006447,1291,LB,AG1,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10005453,1291,*,*,*,,9F50,Contract Admin,0.15000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10006803,1291,LB,AG2,*,,9F62,Vacation Taxable,3.41000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10005453,1291,*,*,*,,9F59,H & W,8.10000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10003979,1291,LB,A80,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10006447,1291,LB,AG1,*,,9F19,Vacation,3.41000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10003978,1291,LB,A70,*,,9F59,H & W,5.67000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
10,10003642,0301,PD,A70N,*,,9F26,Annuity,2.85000,H,9X04,1000100,,jchen,jchen,1/1/2021,12/31/9999
